"ID","SRC_ID","COMN_CD","COMN_CD_NM","SEQ","DESCRIP","DEFAT_VAL_YN","IF_VAL","USE_YN","DEL_YN","ATTR_01_VAL","ATTR_02_VAL","ATTR_03_VAL","ATTR_04_VAL","ATTR_05_VAL","ATTR_06_VAL","ATTR_07_VAL","ATTR_08_VAL","ATTR_09_VAL","ATTR_10_VAL","CREATE_BY","CREATE_DTTM","MODIFY_BY","MODIFY_DTTM"
"001F7787E3CA4CD9BE4767C092FC1DFA","4614AC5A52694EC7ACF7CA54013BB846",TON,TON,3,TON,N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
"003D1FED1EE04A27B677A392720BDD67","0CA775280C084BF7B0CDE931B948F7A6","11","11",11,COMN_CODE_DESCRIP_DAY_OF_MONTH_11,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"009014CC9C23458F9157501889154BBC",BC986F484B314A5FB3D4B7928CB3BF87,URGENT_02,Promotion order,2,COMN_CODE_DESCRIP_URGENT_ORDER_TYPE_URGENT_02,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"0120C5BC2D7B4995B9B0BD305F7FB421","6F7F1072389741B5A71036518EDB9489",SEG_DIM_04,Parent Item EOL,4,COMN_CODE_DESCRIP_IM_SEG_DIM_ETC_SEG_DIM_04,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"0150A0B32E6C40B8ADB4D9A42343C9A1",A99CC5A2CEAE4583A317C70B89D86E0B,FCFM,FCFM,4,COMN_CODE_DESCRIP_ORD_CAPA_MAT_COST_FCFM,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"01620D7ACB21406C8BC414D51ACDDFD0",D4296104785949A884E5E6620304FA8C,CAD,Canadian Dollar,9,COMN_CODE_DESCRIP_CURRENCY_CAD,N,,N,N,CA,C$,,,,,,,,,admin,1970-01-01 00:00:00.000,rnd_dp_mgr,2025-11-06 03:03:14.080
"01E6695E916E4877AEB1D7C1BC68762D",A99CC5A2CEAE4583A317C70B89D86E0B,ICFM,ICFM,2,COMN_CODE_DESCRIP_ORD_CAPA_MAT_COST_ICFM,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"03093F6AE404472CB0C6BDF2985EAB1C","9DA0255EE2524074B6BFAE86E3B5599A",QTY_BASE,Sales Volume,1,COMN_CODE_DESCRIP_QUADRANT_BASE_QTY_BASE,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"033D45DD6B154450848C46793975791B",DCFCD8B1001B470F8BDAD9D6C1AAC6A6,INBOUND,Inbound,3,COMN_CODE_DESCRIP_LEAD_TIME_TP_INBOUND,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"0341A64964E746EFAEBC7330AF614C19","96C1B9BAC3CB41DC9035D9ABE2509E13",FP_FRIDAY,Friday,5,Friday,N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
"035FD8F2C1F746ED9047266DC3D748DF","510FEC36EF4D4FE397E7271934560F4F",delimiter,delimiter,3,COMN_CODE_DESCRIP_CROSSTAB_OPTION_DELIMITER,N,N,Y,N,delimiter,SINGLE,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"03AEEA15759240B588546158AE3694CD","6F7F1072389741B5A71036518EDB9489",SEG_DIM_05,Standard Unit Price,5,COMN_CODE_DESCRIP_IM_SEG_DIM_ETC_SEG_DIM_05,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
"03B41BAE70814688A62B109E40C35378","74CF63517F2E43B89620F9DD92649C03",TUE,Tuesday,2,COMN_CODE_DESCRIP_DAY_OF_WEEK_TUE,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
