"ID","BASE_DATE","FACTOR1","FACTOR2","FACTOR3","FACTOR4","FACTOR5","FACTOR6","FACTOR7","FACTOR8","FACTOR9","FACTOR10","FACTOR11","FACTOR12","FACTOR13","FACTOR14","FACTOR15","FACTOR16","FACTOR17","FACTOR18","FACTOR19","FACTOR20","CREATE_BY","CREATE_DTTM","MODIFY_BY","MODIFY_DTTM","FACTOR21","FACTOR22","FACTOR23","FACTOR24","FACTOR25","FACTOR26","FACTOR27","FACTOR28","FACTOR29","FACTOR30","FACTOR31","FACTOR32","FACTOR33","FACTOR34","FACTOR35","FACTOR36","FACTOR37","FACTOR38","FACTOR39","FACTOR40","FACTOR41","FACTOR42","FACTOR43","FACTOR44","FACTOR45","FACTOR46","FACTOR47","FACTOR48","FACTOR49","FACTOR50","PLAN_SCOPE"
"001D653988244AB098B959FC8A21DF84",2026-04-24 00:00:00.000,258.200,2762.010,2.205,0.000,102.287,26.980,33.620,570.848,,,,,,,,,,,,,rnd_dp,2026-04-24 04:43:43.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEFAULT
"0020C31FD03E46FDB985ACD9A63D6498",2024-10-29 00:00:00.000,258.200,2762.010,0.000,0.000,38.235,10.248,12.398,458.167,66.870,4.293,109.937,14.716,0.000,9.191,335.165,0.032,0.000,0.000,0.224,0.000,admin,2024-01-22 08:12:06.033,,,0.000,0.000,0.000,0.224,3.030,9.677,4.071,20.108,3165.803,45845.305,7771.885,11326.385,9664.598,4215.393,4872.435,10972.950,,,,,,,,,,,,,,,DEFAULT
"003A79597DC44EF38E0FFC4545311D32",2025-02-07 00:00:00.000,258.200,2762.010,0.333,0.700,98.612,35.155,46.200,567.946,,,,,,,,,,,,,,2025-09-01 01:26:05.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEFAULT
"0044172B0E8F4A1089CD059ED0175D8E",2020-12-17 00:00:00.000,258.200,2762.010,0.000,0.000,18.240,3.926,8.400,218.599,33.459,2.121,54.169,7.323,0.000,4.553,164.969,0.015,0.000,0.000,0.000,0.000,SYSTEM,1980-01-01 00:00:00.000,admin,2023-05-24 11:43:33.653,0.000,0.000,0.000,0.000,0.997,3.200,1.804,3.000,51.600,6.200,1.600,2.400,62.600,2.400,31.000,11.400,,,,,,0.000,,,,,,,,,DEFAULT
"00533F5691A24762BC5A5B26FFD06178",2023-02-24 00:00:00.000,258.200,2762.010,0.000,1.000,99.500,57.326,54.000,,,,,,,,,,,,,,SYSTEM,1980-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEFAULT
"006212DE48BF4D42BD1D08F243AC24B7",2020-04-30 00:00:00.000,258.200,2762.010,0.000,0.000,73.300,20.970,48.000,1207.328,171.276,11.332,280.773,37.287,0.000,23.974,856.885,0.081,0.000,0.000,0.000,0.000,API,1980-01-01 00:00:00.000,,2021-04-09 11:09:06.337,1.000,0.000,0.000,0.000,1.797,12.000,10.947,29.000,131.000,12.000,5.000,10.000,38.000,2.000,62.000,220.000,,,,,,1.000,,,,,,,,,DEFAULT
"00829F0D747248E9AC572AC154F94CA9",2020-01-29 00:00:00.000,258.200,2762.010,0.000,0.000,104.800,34.525,72.000,1178.666,169.919,10.800,288.889,38.058,0.000,23.184,866.108,0.086,0.000,0.000,0.000,0.000,API,1980-01-01 00:00:00.000,,2021-04-09 11:09:03.900,1.000,0.000,0.000,0.000,4.388,29.000,17.634,70.000,15538.000,6580.000,889.000,1241.000,990.000,346.000,627.000,975.000,,,,,,0.000,,,,,,,,,DEFAULT
"00839F313B17404AA041C3004490E415",2025-02-08 00:00:00.000,258.200,2762.010,0.000,0.000,98.612,36.592,67.200,567.119,,,,,,,,,,,,,,2025-09-01 01:26:05.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEFAULT
"00A397B72F154EA198DFEC7DCB1DC46C",2020-09-01 00:00:00.000,258.200,2762.010,0.000,0.000,16.280,5.420,2.000,236.943,34.748,2.238,57.198,7.625,0.000,4.883,174.526,0.016,0.000,0.000,0.000,0.000,SYSTEM,1980-01-01 00:00:00.000,admin,2023-05-24 11:43:33.653,0.000,0.000,0.000,0.000,0.739,4.200,2.399,10.000,102.000,5.200,1.200,3.400,56.600,0.600,22.600,9.600,,,,,,0.000,,,,,,,,,DEFAULT
"00A6F1A42E3245358A63D341F9A0069E",2023-09-19 00:00:00.000,258.200,2762.010,0.099,0.000,33.862,12.092,24.258,443.701,64.508,4.176,107.149,14.265,0.000,8.853,324.834,0.031,0.000,0.000,0.000,0.000,admin,1980-01-01 00:00:00.000,,,0.000,0.000,0.000,0.000,3.435,16.679,3.850,14.355,2802.375,39416.310,4439.855,5606.400,5651.075,2692.305,3020.085,6616.445,,,,,,,,,,,,,,,DEFAULT
